Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
Tormywheel Wind Farm,Other,Awaiting Construction,295290,658102,In development,Large (1MW+)
Land SW of Shilton Cottage,Other,Awaiting Construction,243794,671266,In development,Large (1MW+)
Aikengall II Community Wind Farm Battery,Other,Awaiting Construction,367967,668389,In development,Large (1MW+)
Land To The East Of Wholeflats Road (Grangemouth),Other,Awaiting Construction,293973,679925,In development,Large (1MW+)
Bilbo Solar Farm Energy Storage,Other,Under Construction,405327,855492,In development,Large (1MW+)
Whitelaw Brae Wind farm,Other,Awaiting Construction,306039,621476,In development,Large (1MW+)
STOR Field 9,Other,Awaiting Construction,313196,683767,In development,Large (1MW+)
Berfern Farm,Other,Awaiting Construction,220467,671157,In development,Large (1MW+)
Drumfad Wood,Other,Awaiting Construction,231381,684279,In development,Large (1MW+)
Shindour Feddal Hill Wood Braco,Other,Awaiting Construction,281015,709090,In development,Large (1MW+)
Orchardbank Industrial Estate,Other,Awaiting Construction,344086,750088,In development,Large (1MW+)
Ardoch Farm,Other,Awaiting Construction,231148,644103,In development,Large (1MW+)
Shaws Farm,Other,Awaiting Construction,277378,649453,In development,Large (1MW+)
Dunsinane Industrial Estate,Other,Awaiting Construction,337745,732482,In development,Large (1MW+)
Fordtown Energy Storage (Resubmission),Other,Awaiting Construction,377990,814576,In development,Large (1MW+)
Roaring Hill (Resubmission),Other,Awaiting Construction,325451,702300,In development,Large (1MW+)
Harestanes Windfarm,Other,Awaiting Construction,300958,597760,In development,Large (1MW+)
Arecleoch Wind Farm (extension),Other,Application Submitted,221500,578500,In development,Large (1MW+)
Greenburn Wind Park,Other,Application Submitted,256423,614614,In development,Large (1MW+)
Land North of Thornton Road,Other,Awaiting Construction,329101,695410,In development,Large (1MW+)
Whitelee Wind Farm Battery Storage Extension,Other,Awaiting Construction,263618,646810,In development,Large (1MW+)
Jamesfield Organic Centre,Other,Awaiting Construction,320261,717467,In development,Large (1MW+)
Clauchrie Windfarm Battery,Other,Application Submitted,229552,588722,In development,Large (1MW+)
Hagshaw Hill,Other,Awaiting Construction,282089,631116,In development,Large (1MW+)
Tarland Substation,Other,Awaiting Construction,352561,807158,In development,Unknown
Pleasance Road,Other,Awaiting Construction,321821,739152,In development,Large (1MW+)
Fraserburgh Development,Other,Awaiting Construction,398525,864618,In development,Large (1MW+)
Strichen South,Other,Awaiting Construction,398939,854433,In development,Large (1MW+)
Strichen North,Other,Awaiting Construction,397549,855489,In development,Large (1MW+)
North West Of Jameston Farm,Other,Awaiting Construction,232189,647344,In development,Large (1MW+)
Sheirdrim Renewable Energy Development - Battery,Other,Application Submitted,181450,657720,In development,Large (1MW+)
North-East of Spitfire Way - GCP,Other,Awaiting Construction,293750,680150,In development,Unknown
Blackpark Farm,Other,Awaiting Construction,289712,814915,In development,Large (1MW+)
Douglas West Wind Farm (extension),Other,Application Submitted,280968,634257,In development,Large (1MW+)
Shepherd's Rig Wind Farm,Other,Application Submitted,262319,593591,In development,Large (1MW+)
Foula Community Electricity Scheme,Other,Operational,397081,1138943,Operational,Unknown
Horse Island Microgrid Project,Other,Operational,202386,904706,Operational,Unknown
Isle of Rum Microgrid Project,Other,Operational,137593,799241,Operational,Unknown
Kip Water Hydro Scheme,Other,Application Submitted,221610,673062,In development,Large (1MW+)
Hywind 2,Other,Operational,411917,846754,Operational,Large (1MW+)
Isle of Muck Microgrid System,Other,Operational,141577,779605,Operational,Unknown
Orkney Storage Park Project,Other,Operational,344780,1011192,Operational,Large (1MW+)
Northern Isles New Energy Solution (NINES) 1,Other,Operational,446456,1142794,Operational,Large (1MW+)
Isle of Eigg Electrification Project,Other,Operational,147908,786328,Operational,Small to medium (>=45kW and <1MW)
Billia Croo Wave Test Site (Extension),Wave Power,Application Submitted,323401,983560,In development,Large (1MW+)
Wello Penguin Device (Billia Croo - EMEC),Wave Power,Operational,323401,983560,Operational,Large (1MW+)
Douglas West Wind Farm (extension),Wind,Application Submitted,280968,634257,In development,Large (1MW+)
Hammars Hill Wind Farm Extension,Wind,Awaiting Construction,337526,1022979,In development,Large (1MW+)
Lower Rumster,Wind,Awaiting Construction,321714,936327,In development,Small to medium (>=45kW and <1MW)
"Land near Tacher, Latheron",Wind,Awaiting Construction,317290,946869,In development,Large (1MW+)
Ben Sca,Wind,Awaiting Construction,133545,847925,In development,Large (1MW+)
