Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory,longitude,latitude
Auchinlea Landfill Site,Landfill Gas,Operational,281000.0,659000.0,Operational,Large (1MW+),-3.900341192291688,55.80955912688447
Barkip Landfill Site,Landfill Gas,Operational,229333.0,650530.0,Operational,Large (1MW+),-4.7185519952828985,55.718049120590834
Greenoakhill,Landfill Gas,Operational,266600.0,662700.0,Operational,Large (1MW+),-4.1317548308719045,55.83901581780426
Greengairs Landfill Scheme Phase VI,Landfill Gas,Operational,278500.0,669700.0,Operational,Large (1MW+),-3.9450030287525557,55.90501818917732
Greengairs Landfill Scheme Phase V,Landfill Gas,Operational,278500.0,669700.0,Operational,Large (1MW+),-3.9450030287525557,55.90501818917732
Dunlop Landfill Gas Scheme,Landfill Gas,Operational,244600.0,651500.0,Operational,Large (1MW+),-4.476325433595373,55.731893215263234
Kaimes Landfill Site,Landfill Gas,Operational,312800.0,666500.0,Operational,Large (1MW+),-3.3955547937196386,55.883718004443445
Stracathro Hospital Solar,Photovoltaic,Awaiting Construction,362591.0,764986.0,In development,Small to medium (>=45kW and <1MW),-2.6137270167747713,56.7749297121299
Cupar Wastewater Treatment Works Solar Farm,Photovoltaic,Awaiting Construction,338752.0,714907.0,In development,Small to medium (>=45kW and <1MW),-2.991896052871482,56.32256725377263
East Ballochy (Resubmission),Photovoltaic,Awaiting Construction,367035.0,761826.0,In development,Large (1MW+),-2.540607164983397,56.746879712917355
Perth Wastewater Treatment Works (Extension),Photovoltaic,Awaiting Construction,314371.0,722017.0,In development,Small to medium (>=45kW and <1MW),-3.3883074621286706,56.38264267659393
City of Edinburgh Council Buildings,Photovoltaic,Awaiting Construction,326167.0,673824.0,In development,Small to medium (>=45kW and <1MW),-3.1839336256403024,55.951744945528446
Land North of Balbeggie Avenue,Photovoltaic,Awaiting Construction,328587.0,696532.0,In development,Large (1MW+),-3.1512514409598613,56.156090066641056
Finmont Service Reservoir,Photovoltaic,Operational,323203.0,699536.0,Operational,Small to medium (>=45kW and <1MW),-3.238772264308949,56.18223533606136
Perth Wastewater Treatment Works,Photovoltaic,Awaiting Construction,314552.0,722067.0,In development,Small to medium (>=45kW and <1MW),-3.385393583900988,56.383124530805965
Easter Bush,Photovoltaic,Under Construction,325277.0,664574.0,In development,Large (1MW+),-3.1956213004432232,55.86851668670801
Tesco Extra Dumfries,Photovoltaic,Awaiting Construction,296221.0,576844.0,In development,Small to medium (>=45kW and <1MW),-3.626944844904259,55.07517097994162
Tesco Superstore Annan,Photovoltaic,Awaiting Construction,320134.0,566340.0,In development,Small to medium (>=45kW and <1MW),-3.249593166329221,54.9852316340121
Hutchesons Grammar School,Photovoltaic,Awaiting Construction,257194.0,662717.0,In development,Small to medium (>=45kW and <1MW),-4.281832561967065,55.836474878644914
Carey Solar Farm,Photovoltaic,Awaiting Construction,317354.0,716778.0,In development,Large (1MW+),-3.33836514426353,56.33611917918843
Milltown Airfield (Speyslaw),Photovoltaic,Awaiting Construction,326418.0,865499.0,In development,Large (1MW+),-3.2352981787373807,57.67330160233317
Speyslaw Solar Farm,Photovoltaic,Awaiting Construction,328565.0,866472.0,In development,Large (1MW+),-3.199600592152028,57.68238562151257
Cordon Farm,Photovoltaic,Awaiting Construction,318335.0,717885.0,In development,Large (1MW+),-3.322846932889932,56.346232302419956
Iron Mountain Building,Photovoltaic,Awaiting Construction,305189.0,670062.0,In development,Small to medium (>=45kW and <1MW),-3.5184274839710428,55.914271451669784
Iron Mountain Howe Moss Drive,Photovoltaic,Awaiting Construction,386724.0,812305.0,In development,Small to medium (>=45kW and <1MW),-2.221367420043083,57.20131898233841
Montreathmont Moor Forest,Photovoltaic,Awaiting Construction,357573.0,753072.0,In development,Large (1MW+),-2.69385212318966,56.66747584051358
Field 730M West Of Queen Street,Photovoltaic,Awaiting Construction,349552.0,754769.0,In development,Large (1MW+),-2.8250404461825465,56.68192121599973
Bilbo Solar Farm,Photovoltaic,Under Construction,405327.0,855492.0,In development,Large (1MW+),-1.9125627575202808,57.58941839168694
South of Greenwellheads,Photovoltaic,Awaiting Construction,406370.0,854550.0,In development,Large (1MW+),-1.895141476769308,57.58094387368039
Berryhill Farm Solar Array,Photovoltaic,Awaiting Construction,273164.0,679927.0,In development,Large (1MW+),-4.03510929826194,55.995468843776564
Glenhead Farm Lower Solar Array,Photovoltaic,Awaiting Construction,274229.0,678358.0,In development,Large (1MW+),-4.017312577725396,55.98166120067684
Glenhead Farm (Upper),Photovoltaic,Awaiting Construction,273746.0,680043.0,In development,Large (1MW+),-4.0258394241968345,55.996664011675335
Carsebank Farm,Photovoltaic,Awaiting Construction,348194.0,754403.0,In development,Large (1MW+),-2.8471292526823855,56.67848470275678
Aviva Headquarters,Photovoltaic,Under Construction,309819.0,722214.0,In development,Large (1MW+),-3.4620652155070175,56.38356495252381
Eden Campus,Photovoltaic,Awaiting Construction,345120.0,719601.0,In development,Large (1MW+),-2.889931077577013,56.3655152366877
Inverness Royal Academy,Photovoltaic,Awaiting Construction,266626.0,842081.0,In development,Small to medium (>=45kW and <1MW),-4.2242073604392365,57.449359063667046
Howden Farm,Photovoltaic,Awaiting Construction,349610.0,667181.0,In development,Small to medium (>=45kW and <1MW),-2.8073321546137326,55.89510140272065
Claylands Road,Photovoltaic,Awaiting Construction,312064.0,671748.0,In development,Small to medium (>=45kW and <1MW),-3.409024952609341,55.9307217066479
Patrickston Farm,Photovoltaic,Awaiting Construction,269179.0,695851.0,In development,Large (1MW+),-4.106738493513968,56.13737154268135
Banbeath Industrial Estate,Photovoltaic,Awaiting Construction,337110.0,701484.0,In development,Small to medium (>=45kW and <1MW),-3.0152425131153677,56.201775656092885
St Margarets Bay,Photovoltaic,Operational,312275.0,681623.0,Operational,Small to medium (>=45kW and <1MW),-3.408871419955953,56.0194575669253
Alness Academy,Photovoltaic,Under Construction,265884.0,869312.0,In development,Small to medium (>=45kW and <1MW),-4.251610957108441,57.6935522939447
Lochaber High School (Resubmission),Photovoltaic,Operational,212357.0,775929.0,Operational,Small to medium (>=45kW and <1MW),-5.077542530194387,56.83680184114099
Invergordon Academy,Photovoltaic,Operational,270904.0,869074.0,Operational,Small to medium (>=45kW and <1MW),-4.167337952529053,57.69288589101272
Parkhill Solar Farm,Photovoltaic,Operational,364125.0,745917.0,Operational,Large (1MW+),-2.585959317102569,56.603750522196584
Kilgallioch Windfarm (Extension - Solar),Photovoltaic,Application Submitted,225000.0,570000.0,In development,Large (1MW+),-4.737082173095494,54.99374461081812
Dunfermline EDI4,Photovoltaic,Awaiting Construction,313506.0,686540.0,In development,Large (1MW+),-3.3907181131901973,56.06384583949465
Glaxosmithkline Shewalton Road,Photovoltaic,Awaiting Construction,234491.0,636772.0,In development,Large (1MW+),-4.628243433891403,55.596353064784694
Lochhead Steading Concrete Block Manufacturing Plant,Photovoltaic,Awaiting Construction,347503.0,750941.0,In development,Small to medium (>=45kW and <1MW),-2.857698881866445,56.64730969493505
Sheirdrim Renewable Energy Development - Solar,Photovoltaic,Application Submitted,181450.0,657720.0,In development,Large (1MW+),-5.485175845002953,55.76331207327404
West Grange Solar Farm (Resubmission),Photovoltaic,Awaiting Construction,298345.0,689835.0,In development,Large (1MW+),-3.6353574597466505,56.09045388588818
Henry Colbeck Office,Photovoltaic,Operational,274033.0,664118.0,Operational,Small to medium (>=45kW and <1MW),-4.013806304016434,55.853747464428764
Skelmonae Farm,Photovoltaic,Awaiting Construction,388690.0,839555.0,In development,Large (1MW+),-2.190090440305663,57.446150220301405
Bruxiehall Farm,Photovoltaic,Under Construction,408820.0,851140.0,In development,Large (1MW+),-1.8542931004296552,57.550273318149934
Ballochmartin,Photovoltaic,Awaiting Construction,216964.0,656725.0,In development,Large (1MW+),-4.919339460371836,55.769125645985724
Hill of Blairfowl Solar Farm,Photovoltaic,Awaiting Construction,379540.0,837700.0,In development,Large (1MW+),-2.3423793160517925,57.42916533148373
Balhearty Solar,Photovoltaic,Operational,293723.0,695800.0,Operational,Large (1MW+),-3.7119826141266192,56.14301575869225
Middle Balbeggie,Photovoltaic,Operational,328855.0,695619.0,Operational,Large (1MW+),-3.146693647031708,56.14792934102327
Pressock Farm,Photovoltaic,Operational,356893.0,749462.0,Operational,Large (1MW+),-2.7043406339123384,56.63498473619651
West Strathore Solar Limited,Photovoltaic,Operational,328619.0,697504.0,Operational,Large (1MW+),-3.1509975341413052,56.16482567941895
New Mains Of Guynd Farm,Photovoltaic,Operational,356528.0,742680.0,Operational,Large (1MW+),-2.7091487654912627,56.57402765562961
Wormit Solar Farm,Photovoltaic,Operational,340703.0,725248.0,Operational,Large (1MW+),-2.9626960686870385,56.415707288938904
House O’Hill Solar Farm,Photovoltaic,Operational,397540.0,859050.0,Operational,Large (1MW+),-2.0428490750832307,57.62139990721338
Errol Estate,Photovoltaic,Operational,321208.0,720222.0,Operational,Large (1MW+),-3.277080457321673,56.367710331484815
Cairnmore Solar Park,Photovoltaic,Operational,350267.0,824528.0,Operational,Large (1MW+),-2.8271571345553217,57.308591278201554
Cairnmore Solar Park (extension),Photovoltaic,Operational,350467.0,824466.0,Operational,Large (1MW+),-2.8238253150550325,57.3080561867242
